timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,type,source,city,dew,h,p,pm25,t,w,pollutant,min,max
2025-03-02 00:00:00,93.0,,,,,,,,,forecast_pm10,AQICN,Karachi,,,,,,,pm10,73.0,123.0
2025-03-02 00:00:00,15.0,,,,,,,,,forecast_o3,AQICN,Karachi,,,,,,,o3,6.0,48.0
2025-03-02 00:00:00,138.0,,,,,,,,,forecast_pm25,AQICN,Karachi,,,,,,,pm25,89.0,158.0
2025-03-02 00:00:00,1.0,,,,,,,,,forecast_uvi,AQICN,Karachi,,,,,,,uvi,0.0,6.0
2025-03-03 00:00:00,19.0,,,,,,,,,forecast_o3,AQICN,Karachi,,,,,,,o3,17.0,23.0
2025-03-03 00:00:00,213.0,,,,,,,,,forecast_pm10,AQICN,Karachi,,,,,,,pm10,62.0,396.0
2025-03-03 00:00:00,169.0,,,,,,,,,forecast_pm25,AQICN,Karachi,,,,,,,pm25,89.0,252.0
2025-03-03 00:00:00,1.0,,,,,,,,,forecast_uvi,AQICN,Karachi,,,,,,,uvi,0.0,6.0
2025-03-04 00:00:00,13.0,,,,,,,,,forecast_o3,AQICN,Karachi,,,,,,,o3,4.0,36.0
2025-03-04 00:00:00,384.0,,,,,,,,,forecast_pm10,AQICN,Karachi,,,,,,,pm10,322.0,396.0
2025-03-04 00:00:00,225.0,,,,,,,,,forecast_pm25,AQICN,Karachi,,,,,,,pm25,180.0,252.0
2025-03-04 00:00:00,2.0,,,,,,,,,forecast_uvi,AQICN,Karachi,,,,,,,uvi,0.0,7.0
2025-03-04 16:00:00,161.0,,,,,,,,,current,AQICN,Karachi,-19.0,3.0,1016.0,161.0,31.0,5.1,,,
2025-03-05 00:00:00,15.0,,,,,,,,,forecast_o3,AQICN,Karachi,,,,,,,o3,11.0,52.0
2025-03-05 00:00:00,191.0,,,,,,,,,forecast_pm25,AQICN,Karachi,,,,,,,pm25,174.0,241.0
2025-03-05 00:00:00,342.0,,,,,,,,,forecast_pm10,AQICN,Karachi,,,,,,,pm10,201.0,396.0
2025-03-05 00:00:00,2.0,,,,,,,,,forecast_uvi,AQICN,Karachi,,,,,,,uvi,0.0,8.0
2025-03-06 00:00:00,2.0,,,,,,,,,forecast_uvi,AQICN,Karachi,,,,,,,uvi,0.0,8.0
2025-03-06 00:00:00,136.0,,,,,,,,,forecast_pm10,AQICN,Karachi,,,,,,,pm10,73.0,335.0
2025-03-06 00:00:00,15.0,,,,,,,,,forecast_o3,AQICN,Karachi,,,,,,,o3,5.0,28.0
2025-03-06 00:00:00,137.0,,,,,,,,,forecast_pm25,AQICN,Karachi,,,,,,,pm25,89.0,174.0
2025-03-07 00:00:00,8.0,,,,,,,,,forecast_o3,AQICN,Karachi,,,,,,,o3,1.0,56.0
2025-03-07 00:00:00,146.0,,,,,,,,,forecast_pm25,AQICN,Karachi,,,,,,,pm25,104.0,170.0
2025-03-07 00:00:00,2.0,,,,,,,,,forecast_uvi,AQICN,Karachi,,,,,,,uvi,0.0,9.0
2025-03-07 00:00:00,162.0,,,,,,,,,forecast_pm10,AQICN,Karachi,,,,,,,pm10,90.0,322.0
2025-03-08 00:00:00,133.0,,,,,,,,,forecast_pm10,AQICN,Karachi,,,,,,,pm10,101.0,396.0
2025-03-08 00:00:00,148.0,,,,,,,,,forecast_pm25,AQICN,Karachi,,,,,,,pm25,138.0,174.0
2025-03-08 00:00:00,9.0,,,,,,,,,forecast_o3,AQICN,Karachi,,,,,,,o3,5.0,30.0
2025-03-08 00:00:00,2.0,,,,,,,,,forecast_uvi,AQICN,Karachi,,,,,,,uvi,0.0,9.0
2025-03-09 00:00:00,0.0,,,,,,,,,forecast_uvi,AQICN,Karachi,,,,,,,uvi,0.0,0.0
2025-03-09 00:00:00,123.0,,,,,,,,,forecast_pm10,AQICN,Karachi,,,,,,,pm10,123.0,123.0
2025-03-09 00:00:00,12.0,,,,,,,,,forecast_o3,AQICN,Karachi,,,,,,,o3,11.0,14.0
2025-03-09 00:00:00,149.0,,,,,,,,,forecast_pm25,AQICN,Karachi,,,,,,,pm25,138.0,159.0
2025-03-10 00:00:00,121.0,,,,,,,,,forecast_pm10,AQICN,Karachi,,,,,,,pm10,73.0,123.0
2025-03-10 00:00:00,138.0,,,,,,,,,forecast_pm25,AQICN,Karachi,,,,,,,pm25,138.0,138.0
2026-05-16 21:00:00,2.0,81.99,0.0,0.05,47.12,0.2,9.08,46.5,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-16 22:00:00,2.0,82.38,0.0,0.05,47.45,0.2,9.19,46.64,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-16 23:00:00,2.0,82.73,0.0,0.05,47.78,0.21,9.34,46.94,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 00:00:00,2.0,83.22,0.0,0.05,48.14,0.21,9.53,47.39,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 01:00:00,2.0,83.53,0.0,0.05,48.62,0.2,9.8,48.16,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 02:00:00,2.0,84.08,0.0,0.06,49.23,0.2,10.09,49.08,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 03:00:00,2.0,84.63,0.01,0.05,49.85,0.19,10.38,49.97,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 04:00:00,3.0,84.8,0.01,0.04,50.07,0.18,10.64,50.82,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 05:00:00,3.0,85.1,0.01,0.03,49.81,0.18,10.9,51.79,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 06:00:00,3.0,85.21,0.01,0.03,48.77,0.17,11.13,52.72,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 07:00:00,3.0,85.1,0.01,0.03,46.94,0.16,11.31,53.39,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 08:00:00,3.0,84.8,0.01,0.03,44.92,0.15,11.44,54.15,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 09:00:00,3.0,84.48,0.01,0.03,43.01,0.15,11.55,55.09,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 10:00:00,3.0,84.36,0.01,0.03,41.46,0.15,11.66,56.36,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 11:00:00,3.0,83.92,0.01,0.03,40.22,0.15,11.7,57.5,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 12:00:00,3.0,83.57,0.01,0.03,39.36,0.15,11.63,58.28,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 13:00:00,3.0,83.28,0.01,0.04,39.11,0.16,11.49,58.81,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 14:00:00,3.0,83.04,0.0,0.06,39.05,0.17,11.24,58.6,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 15:00:00,3.0,82.79,0.0,0.06,39.46,0.18,10.9,58.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 16:00:00,3.0,82.67,0.0,0.07,40.4,0.18,10.6,57.47,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 17:00:00,3.0,82.77,0.0,0.06,41.76,0.19,10.36,57.17,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 18:00:00,3.0,83.01,0.0,0.06,43.34,0.19,10.17,56.54,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 19:00:00,3.0,82.99,0.0,0.06,44.79,0.2,9.93,55.25,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 20:00:00,3.0,83.0,0.0,0.06,46.0,0.2,9.72,53.85,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 21:00:00,3.0,82.9,0.0,0.06,46.66,0.21,9.53,52.61,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 22:00:00,3.0,82.74,0.0,0.06,47.0,0.22,9.34,51.33,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-17 23:00:00,2.0,82.43,0.0,0.06,47.08,0.22,9.07,49.73,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 00:00:00,2.0,82.14,0.0,0.06,47.07,0.22,8.82,48.24,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 01:00:00,3.0,82.76,0.0,0.05,47.68,0.22,9.26,50.35,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 02:00:00,3.0,83.22,0.0,0.06,49.35,0.22,9.29,51.53,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 03:00:00,3.0,83.74,0.01,0.05,51.71,0.22,9.49,54.06,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 04:00:00,3.0,84.19,0.01,0.04,53.85,0.21,9.87,57.92,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 05:00:00,3.0,84.19,0.01,0.03,54.25,0.21,10.23,61.45,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 06:00:00,3.0,83.94,0.01,0.03,53.31,0.21,10.52,64.43,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 07:00:00,3.0,83.88,0.01,0.03,51.95,0.21,10.76,67.05,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 08:00:00,3.0,83.52,0.01,0.03,50.35,0.21,10.93,69.03,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 09:00:00,3.0,83.27,0.01,0.03,48.71,0.21,11.02,70.41,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 10:00:00,3.0,83.27,0.01,0.03,47.56,0.21,11.09,71.38,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 11:00:00,3.0,83.22,0.01,0.03,47.01,0.21,11.11,71.66,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 12:00:00,3.0,83.13,0.01,0.03,46.97,0.21,11.03,70.48,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 13:00:00,3.0,83.26,0.01,0.04,47.41,0.22,10.78,67.84,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 14:00:00,3.0,83.04,0.0,0.05,47.54,0.23,10.26,63.62,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 15:00:00,3.0,82.71,0.0,0.06,47.22,0.24,9.55,58.55,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 16:00:00,3.0,82.18,0.0,0.06,46.72,0.25,8.91,54.09,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 17:00:00,3.0,81.98,0.0,0.06,46.62,0.26,8.58,51.28,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 18:00:00,3.0,82.15,0.0,0.06,47.18,0.27,8.63,50.33,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 19:00:00,3.0,82.72,0.0,0.06,48.42,0.28,8.97,51.13,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 20:00:00,3.0,83.51,0.0,0.06,50.09,0.29,9.48,53.19,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 21:00:00,3.0,84.15,0.0,0.06,51.65,0.3,10.01,55.65,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 22:00:00,3.0,84.89,0.0,0.06,52.91,0.31,10.45,57.8,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-18 23:00:00,3.0,85.26,0.0,0.06,53.73,0.32,10.71,58.95,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 00:00:00,3.0,85.66,0.0,0.06,54.54,0.32,10.86,59.4,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 01:00:00,4.0,86.1,0.0,0.06,55.66,0.33,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 02:00:00,4.0,86.79,0.0,0.07,57.06,0.33,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 03:00:00,4.0,87.62,0.0,0.06,58.34,0.33,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 04:00:00,4.0,88.13,0.01,0.05,59.12,0.32,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 05:00:00,3.0,88.49,0.01,0.04,59.03,0.32,12.01,58.12,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 06:00:00,3.889,88.5,0.01,0.04,57.93,0.31,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 07:00:00,3.667,88.33,0.01,0.04,56.27,0.3,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 08:00:00,3.778,88.1,0.01,0.03,54.3,0.29,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 09:00:00,3.778,87.78,0.01,0.03,52.54,0.29,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 10:00:00,3.778,87.84,0.01,0.03,51.18,0.29,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 11:00:00,3.778,87.91,0.01,0.04,50.13,0.29,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 12:00:00,4.0,87.97,0.01,0.04,49.76,0.29,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 13:00:00,4.0,88.27,0.01,0.05,49.86,0.3,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 14:00:00,4.0,88.47,0.0,0.07,50.06,0.3,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 15:00:00,4.0,88.58,0.0,0.07,50.29,0.3,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 16:00:00,4.0,88.87,0.0,0.07,50.57,0.3,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 17:00:00,4.0,89.1,0.0,0.07,50.7,0.31,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 18:00:00,4.0,89.29,0.0,0.07,50.57,0.32,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 19:00:00,4.0,89.17,0.0,0.07,50.15,0.33,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 20:00:00,4.0,89.17,0.0,0.08,49.71,0.34,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 21:00:00,4.0,88.9,0.0,0.08,49.38,0.35,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 22:00:00,4.0,88.53,0.0,0.08,49.35,0.37,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-19 23:00:00,4.0,88.26,0.0,0.07,49.61,0.38,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 00:00:00,4.222,87.77,0.0,0.07,50.09,0.39,0.0,0.0,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 01:00:00,4.0,87.37,0.0,0.07,51.59,0.38,18.72,110.77,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 02:00:00,4.0,87.49,0.0,0.08,53.32,0.37,20.37,125.14,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 03:00:00,4.0,87.88,0.01,0.08,55.11,0.38,21.69,136.73,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 04:00:00,4.0,88.17,0.01,0.07,57.08,0.38,22.92,147.25,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 05:00:00,4.0,88.34,0.01,0.06,57.8,0.38,23.61,153.03,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 06:00:00,4.0,88.39,0.01,0.05,57.63,0.38,23.96,156.23,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 07:00:00,4.0,88.21,0.01,0.05,56.61,0.37,23.95,156.36,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 08:00:00,4.0,87.73,0.01,0.04,54.59,0.36,23.47,152.35,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 09:00:00,4.0,87.4,0.01,0.04,52.59,0.35,23.09,148.01,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 10:00:00,4.0,87.43,0.01,0.04,51.26,0.35,22.89,144.16,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 11:00:00,4.0,87.5,0.01,0.04,50.42,0.34,22.62,138.91,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 12:00:00,4.0,87.54,0.01,0.05,49.99,0.33,22.16,131.3,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 13:00:00,4.0,87.86,0.01,0.06,50.07,0.33,21.58,122.63,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 14:00:00,4.0,87.95,0.0,0.07,50.03,0.32,20.71,112.39,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 15:00:00,4.0,88.01,0.0,0.08,49.78,0.31,19.6,101.8,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 16:00:00,3.0,88.02,0.0,0.08,49.55,0.31,18.56,93.13,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 17:00:00,3.0,88.39,0.0,0.07,49.68,0.3,17.73,86.71,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 18:00:00,3.0,88.67,0.0,0.07,50.03,0.31,17.06,82.08,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 19:00:00,3.0,88.92,0.0,0.07,50.37,0.32,16.57,79.16,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 20:00:00,3.0,89.23,0.0,0.07,50.7,0.33,16.3,77.45,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 21:00:00,3.0,89.34,0.0,0.07,51.03,0.33,16.14,76.57,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 22:00:00,3.0,89.4,0.0,0.07,51.55,0.34,16.06,76.48,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-20 23:00:00,3.0,89.45,0.0,0.06,52.18,0.34,16.06,77.61,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 00:00:00,3.0,89.39,0.0,0.06,52.83,0.34,16.15,79.91,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 01:00:00,3.0,89.28,0.0,0.06,53.37,0.34,16.3,82.78,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 02:00:00,3.0,89.14,0.0,0.07,53.79,0.34,16.47,85.43,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 03:00:00,3.0,89.14,0.01,0.07,54.21,0.34,16.63,87.73,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 04:00:00,3.0,89.15,0.01,0.06,54.6,0.34,16.76,89.69,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 05:00:00,3.0,88.93,0.01,0.05,54.53,0.33,16.78,90.7,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 06:00:00,3.0,88.59,0.01,0.04,53.52,0.32,16.65,90.28,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 07:00:00,3.0,87.86,0.01,0.04,51.63,0.31,16.34,88.3,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 08:00:00,3.0,87.14,0.01,0.04,49.45,0.3,15.97,86.01,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 09:00:00,3.0,86.48,0.01,0.04,47.48,0.3,15.61,84.33,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 10:00:00,3.0,86.25,0.01,0.04,46.16,0.29,15.32,83.67,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 11:00:00,3.0,85.92,0.01,0.04,45.31,0.29,15.03,83.15,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 12:00:00,3.0,85.73,0.01,0.04,45.24,0.3,14.86,83.37,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 13:00:00,3.0,85.93,0.01,0.05,45.96,0.31,14.92,85.2,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 14:00:00,3.0,86.2,0.0,0.07,47.1,0.31,15.16,87.97,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 15:00:00,3.0,86.61,0.0,0.07,48.32,0.32,15.51,91.22,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 16:00:00,3.0,86.78,0.0,0.07,49.35,0.33,15.87,94.17,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 17:00:00,3.0,87.12,0.0,0.07,50.29,0.33,16.22,96.99,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 18:00:00,3.0,87.36,0.0,0.07,51.1,0.33,16.59,99.61,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 19:00:00,4.0,87.36,0.0,0.07,51.58,0.33,16.94,101.98,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 20:00:00,4.0,87.27,0.0,0.06,52.05,0.32,17.3,104.52,0.0,history,OpenWeather,Karachi,,,,,,,,,
2026-05-21 20:00:00,4.0,87.27,0.0,0.06,52.05,0.32,17.3,104.52,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-21 20:24:24,4.0,87.27,0.0,0.06,52.05,0.32,17.3,104.52,0.0,current,OpenWeather,Karachi,,,,,,,,,
2026-05-21 21:00:00,4.0,86.98,0.0,0.06,52.3,0.31,17.63,106.82,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-21 22:00:00,4.0,86.62,0.0,0.06,52.44,0.31,17.89,109.0,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-21 23:00:00,4.0,86.24,0.0,0.06,52.41,0.3,18.02,110.56,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 00:00:00,4.0,85.7,0.0,0.06,52.12,0.28,18.01,110.84,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 01:00:00,4.0,85.13,0.0,0.06,51.57,0.27,17.9,110.04,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 02:00:00,4.0,84.79,0.0,0.07,51.25,0.27,17.78,108.8,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 03:00:00,4.0,84.49,0.01,0.06,50.93,0.26,17.66,107.71,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 04:00:00,4.0,84.25,0.01,0.05,50.58,0.25,17.58,107.57,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 05:00:00,4.0,84.13,0.01,0.04,50.29,0.23,17.65,108.97,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 06:00:00,4.0,84.07,0.01,0.04,49.6,0.22,17.75,110.71,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 07:00:00,4.0,83.89,0.01,0.03,48.49,0.22,17.83,112.25,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 08:00:00,4.0,83.72,0.01,0.03,47.09,0.21,17.8,112.84,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 09:00:00,4.0,83.49,0.01,0.03,45.7,0.2,17.71,112.63,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 10:00:00,4.0,83.7,0.01,0.03,44.69,0.2,17.62,112.17,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 11:00:00,4.0,83.74,0.01,0.03,44.1,0.2,17.48,111.04,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 12:00:00,4.0,83.92,0.01,0.04,44.02,0.2,17.36,109.83,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 13:00:00,4.0,84.43,0.01,0.04,44.67,0.21,17.47,109.52,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 14:00:00,4.0,84.86,0.0,0.06,45.58,0.21,17.79,110.17,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 15:00:00,4.0,85.35,0.0,0.06,46.52,0.22,18.31,111.96,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
2026-05-22 16:00:00,4.0,85.62,0.0,0.06,47.39,0.22,18.9,114.26,0.0,forecast,OpenWeather,Karachi,,,,,,,,,
