timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,type,source,city,dew,h,p,pm25,t,w,pollutant,min,max
2025-02-16 00:00:00,54,,,,,,,,,forecast_pm10,AQICN,Lahore,,,,,,,pm10,44.0,58.0
2025-02-16 00:00:00,4,,,,,,,,,forecast_o3,AQICN,Lahore,,,,,,,o3,1.0,30.0
2025-02-16 00:00:00,150,,,,,,,,,forecast_pm25,AQICN,Lahore,,,,,,,pm25,103.0,159.0
2025-02-16 00:00:00,1,,,,,,,,,forecast_uvi,AQICN,Lahore,,,,,,,uvi,0.0,4.0
2025-02-17 00:00:00,4,,,,,,,,,forecast_o3,AQICN,Lahore,,,,,,,o3,1.0,35.0
2025-02-17 00:00:00,56,,,,,,,,,forecast_pm10,AQICN,Lahore,,,,,,,pm10,46.0,72.0
2025-02-17 00:00:00,151,,,,,,,,,forecast_pm25,AQICN,Lahore,,,,,,,pm25,138.0,165.0
2025-02-17 00:00:00,1,,,,,,,,,forecast_uvi,AQICN,Lahore,,,,,,,uvi,0.0,4.0
2025-02-18 00:00:00,5,,,,,,,,,forecast_o3,AQICN,Lahore,,,,,,,o3,1.0,41.0
2025-02-18 00:00:00,47,,,,,,,,,forecast_pm10,AQICN,Lahore,,,,,,,pm10,28.0,58.0
2025-02-18 00:00:00,134,,,,,,,,,forecast_pm25,AQICN,Lahore,,,,,,,pm25,81.0,159.0
2025-02-18 00:00:00,1,,,,,,,,,forecast_uvi,AQICN,Lahore,,,,,,,uvi,0.0,4.0
2025-02-18 18:00:00,34,,,,,,,,,current,AQICN,Lahore,7.0,32.0,1014.0,34.0,24.5,3.0,,,
2025-02-19 00:00:00,51,,,,,,,,,forecast_pm10,AQICN,Lahore,,,,,,,pm10,46.0,58.0
2025-02-19 00:00:00,1,,,,,,,,,forecast_uvi,AQICN,Lahore,,,,,,,uvi,0.0,3.0
2025-02-19 00:00:00,4,,,,,,,,,forecast_o3,AQICN,Lahore,,,,,,,o3,1.0,41.0
2025-02-19 00:00:00,125,,,,,,,,,forecast_pm25,AQICN,Lahore,,,,,,,pm25,89.0,142.0
2025-02-20 00:00:00,150,,,,,,,,,forecast_pm25,AQICN,Lahore,,,,,,,pm25,138.0,159.0
2025-02-20 00:00:00,70,,,,,,,,,forecast_pm10,AQICN,Lahore,,,,,,,pm10,57.0,123.0
2025-02-20 00:00:00,0,,,,,,,,,forecast_uvi,AQICN,Lahore,,,,,,,uvi,0.0,1.0
2025-02-20 00:00:00,7,,,,,,,,,forecast_o3,AQICN,Lahore,,,,,,,o3,1.0,18.0
2025-02-21 00:00:00,66,,,,,,,,,forecast_pm10,AQICN,Lahore,,,,,,,pm10,49.0,77.0
2025-02-21 00:00:00,152,,,,,,,,,forecast_pm25,AQICN,Lahore,,,,,,,pm25,138.0,169.0
2025-02-21 00:00:00,1,,,,,,,,,forecast_uvi,AQICN,Lahore,,,,,,,uvi,0.0,5.0
2025-02-21 00:00:00,4,,,,,,,,,forecast_o3,AQICN,Lahore,,,,,,,o3,1.0,39.0
2025-02-22 00:00:00,56,,,,,,,,,forecast_pm10,AQICN,Lahore,,,,,,,pm10,46.0,73.0
2025-02-22 00:00:00,136,,,,,,,,,forecast_pm25,AQICN,Lahore,,,,,,,pm25,89.0,159.0
2025-02-22 00:00:00,1,,,,,,,,,forecast_o3,AQICN,Lahore,,,,,,,o3,1.0,8.0
2025-02-22 00:00:00,1,,,,,,,,,forecast_uvi,AQICN,Lahore,,,,,,,uvi,0.0,5.0
2025-02-23 00:00:00,0,,,,,,,,,forecast_uvi,AQICN,Lahore,,,,,,,uvi,0.0,0.0
2025-02-23 00:00:00,148,,,,,,,,,forecast_pm25,AQICN,Lahore,,,,,,,pm25,133.0,160.0
2025-02-23 00:00:00,59,,,,,,,,,forecast_pm10,AQICN,Lahore,,,,,,,pm10,46.0,73.0
2025-02-24 00:00:00,69,,,,,,,,,forecast_pm10,AQICN,Lahore,,,,,,,pm10,46.0,73.0
2025-02-24 00:00:00,168,,,,,,,,,forecast_pm25,AQICN,Lahore,,,,,,,pm25,130.0,174.0
2026-02-08 18:00:00,5,946.28,0.0,17.87,67.39,3.73,103.85,141.37,73.61,history,OpenWeather,Lahore,,,,,,,,,
2026-02-08 19:00:00,5,914.46,0.0,16.47,58.14,2.81,103.43,138.1,66.51,history,OpenWeather,Lahore,,,,,,,,,
2026-02-08 20:00:00,5,887.66,0.0,15.5,50.52,2.28,103.39,135.95,63.71,history,OpenWeather,Lahore,,,,,,,,,
2026-02-08 21:00:00,5,871.57,0.0,14.86,44.42,2.04,103.86,134.88,63.53,history,OpenWeather,Lahore,,,,,,,,,
2026-02-08 22:00:00,5,856.12,0.0,14.48,39.84,1.94,104.2,134.01,64.54,history,OpenWeather,Lahore,,,,,,,,,
2026-02-08 23:00:00,5,851.42,0.0,14.35,36.37,1.86,105.06,133.82,65.55,history,OpenWeather,Lahore,,,,,,,,,
2026-02-09 00:00:00,5,851.03,0.0,14.59,33.86,1.84,106.19,133.95,67.55,history,OpenWeather,Lahore,,,,,,,,,
2026-02-09 01:00:00,5,863.81,0.0,15.06,30.23,1.78,107.63,134.86,62.65,history,OpenWeather,Lahore,,,,,,,,,
2026-02-09 02:00:00,5,923.85,0.02,16.61,24.2,1.81,112.0,139.79,48.17,history,OpenWeather,Lahore,,,,,,,,,
2026-02-09 03:00:00,5,1014.56,0.4,19.11,19.09,1.94,117.98,145.92,37.67,history,OpenWeather,Lahore,,,,,,,,,
2026-02-09 04:00:00,5,1070.92,2.37,18.35,20.58,2.03,119.99,146.6,33.09,history,OpenWeather,Lahore,,,,,,,,,
2026-02-09 05:00:00,5,1100.29,4.59,15.71,25.13,2.21,119.57,145.81,36.27,history,OpenWeather,Lahore,,,,,,,,,
2026-02-09 06:00:00,5,1086.34,4.95,13.93,35.94,2.39,118.53,144.18,36.65,history,OpenWeather,Lahore,,,,,,,,,
2026-02-09 07:00:00,5,623.71,1.01,7.07,108.37,3.35,78.0,95.24,20.76,history,OpenWeather,Lahore,,,,,,,,,
2026-02-09 08:00:00,4,517.53,0.61,5.0,120.13,3.91,71.21,86.91,17.68,history,OpenWeather,Lahore,,,,,,,,,
2026-02-09 09:00:00,4,494.43,0.49,4.65,123.59,4.26,73.15,88.59,18.09,history,OpenWeather,Lahore,,,,,,,,,
2026-02-09 10:00:00,5,512.4,0.48,5.22,120.26,4.55,79.05,95.35,21.03,history,OpenWeather,Lahore,,,,,,,,,
